Name,DateTime,AnimalType,AgeuponOutcome,Breed,Color,neutered/spayed,adopted
Hank,1/26/2014 12:44:00,Dog,2 years,Pointer Mix,Brown/White,1,0
Gabby,7/2/2014 18:54:00,Dog,3 years,Pit Bull Mix,Blue/White,0,0
,7/13/2014 17:14:00,Dog,2 months,Dachshund/Chihuahua Shorthair,Sable/White,1,1
Prince,3/19/2014 15:17:00,Dog,3 years,Pit Bull Mix,Blue Tiger/White,0,0
Penelope,5/16/2014 12:50:00,Dog,5 years,Labrador Retriever Mix,Black/Brown,1,0
Rigby,5/3/2015 13:29:00,Dog,8 months,Border Collie/Greyhound,Blue/White,1,1
Tiki,1/30/2015 18:00:00,Cat,10 years,Domestic Shorthair Mix,Black/White,1,1
,7/23/2014 16:02:00,Dog,1 month,Miniature Poodle Mix,Black/White,0,0
Sylvie,1/19/2015 12:36:00,Dog,1 year,Catahoula Mix,Yellow Brindle,1,1
Bowie,7/17/2015 18:00:00,Dog,6 years,Swedish Vallhund Mix,Sable,1,1
Bella,7/5/2015 17:53:00,Cat,3 years,Domestic Shorthair Mix,Brown Tabby,1,1
Petey,11/18/2014 19:02:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
Nikita,2/12/2016 18:51:00,Dog,6 months,Australian Kelpie Mix,Black/Tan,1,0
Ash,11/26/2013 18:19:00,Dog,1 year,Pit Bull Mix,Blue/White,0,1
,1/20/2015 14:43:00,Dog,2 weeks,Border Collie Mix,Black/White,0,0
Fancy,3/28/2014 14:39:00,Dog,2 years,Papillon/Border Collie,Black/White,1,0
,5/22/2015 14:22:00,Cat,3 weeks,Domestic Shorthair Mix,Tortie/White,0,0
,10/10/2014 9:00:00,Cat,5 months,Domestic Shorthair Mix,Black,0,0
,11/21/2013 15:37:00,Cat,1 year,Domestic Shorthair Mix,Tortie,0,0
Betty,9/3/2014 13:52:00,Dog,1 year,Miniature Schnauzer/Miniature Poodle,Gray,1,0
Scooter,1/21/2015 13:15:00,Cat,1 year,Domestic Shorthair Mix,Blue/White,1,0
,12/21/2015 19:13:00,Dog,2 months,Labrador Retriever/German Shepherd,Tan,1,1
Georgia,6/25/2014 17:24:00,Cat,2 months,Domestic Shorthair Mix,Tortie,1,1
,10/15/2013 12:17:00,Dog,10 years,Cocker Spaniel,White/Tan,0,0
Estrella,7/23/2014 14:30:00,Dog,2 years,Boxer Mix,White/Brown Brindle,1,1
Johnny,1/6/2014 17:19:00,Dog,3 months,Border Collie Mix,Tan/White,1,1
,8/21/2014 14:15:00,Cat,2 weeks,Domestic Shorthair Mix,White,0,0
,9/12/2015 14:29:00,Cat,2 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
,9/20/2014 18:58:00,Dog,1 year,Chihuahua Shorthair Mix,Tan/White,1,1
Negro,9/8/2014 11:56:00,Dog,7 years,Chow Chow Mix,Black,1,0
Clark,10/21/2013 16:53:00,Cat,2 months,Domestic Shorthair Mix,Cream Tabby,1,1
Annabella,7/21/2014 18:08:00,Dog,2 years,Labrador Retriever Mix,White,0,0
Willie,2/20/2016 12:53:00,Dog,12 years,Labrador Retriever Mix,Gold,1,0
,6/18/2015 17:27:00,Cat,4 weeks,Domestic Shorthair Mix,White,0,0
Austen,11/29/2015 16:45:00,Cat,2 months,Domestic Shorthair Mix,Black Tabby/White,1,1
,7/19/2014 10:46:00,Dog,1 year,Pit Bull Mix,Brown Brindle/White,1,0
Emily,1/6/2016 8:38:00,Cat,2 months,Domestic Shorthair Mix,Calico,1,1
,6/19/2014 13:20:00,Cat,1 month,Domestic Shorthair Mix,Calico,0,0
,5/24/2014 17:17:00,Dog,2 months,Australian Shepherd Mix,Chocolate/White,1,1
,6/22/2015 16:18:00,Dog,1 month,Dachshund Mix,Tricolor,0,0
Saxon,7/21/2014 11:50:00,Dog,1 year,German Shepherd Mix,Brown/White,1,0
Marvin,2/7/2016 0:00:00,Cat,1 year,Domestic Shorthair Mix,Orange Tabby/White,1,0
Yogi,11/1/2014 13:03:00,Dog,1 year,Blue Lacy Mix,Blue/White,1,0
Bentley,8/1/2015 17:27:00,Dog,1 month,Dachshund Wirehair/Miniature Poodle,Black/Tan,1,1
,5/3/2015 12:36:00,Dog,1 month,Chihuahua Shorthair Mix,Brown,0,0
,6/29/2014 14:49:00,Cat,2 months,Siamese Mix,Lynx Point,1,1
,5/20/2015 9:00:00,Cat,1 year,Domestic Shorthair Mix,Black,0,0
Arthur,12/8/2013 23:22:00,Cat,2 years,Domestic Shorthair Mix,Orange Tabby,1,0
Zion,9/20/2015 11:57:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,1,1
Frodo,1/20/2015 17:45:00,Dog,2 years,Miniature Schnauzer Mix,White,1,0
Jacob,3/2/2015 18:32:00,Dog,4 months,English Pointer Mix,Brown/White,1,1
Ryder,1/27/2015 19:06:00,Dog,1 year,Labrador Retriever/Australian Cattle Dog,Black/White,1,1
Chiquilla,10/9/2013 13:39:00,Dog,2 years,Chihuahua Shorthair Mix,Brown/White,1,1
Grape,1/20/2016 18:30:00,Cat,7 months,Domestic Shorthair Mix,Blue/White,1,1
Sheos,6/20/2015 14:39:00,Dog,1 year,German Shepherd/Chow Chow,Brown/Tan,1,0
,10/14/2014 17:02:00,Dog,3 years,Miniature Schnauzer Mix,Black/Gray,1,1
Harvey,4/12/2014 11:47:00,Dog,6 months,Pit Bull/Weimaraner,Brown/White,0,0
Daisy,10/7/2015 11:54:00,Dog,3 years,Yorkshire Terrier Mix,Black/Tan,0,0
Alyssa,5/31/2015 0:00:00,Dog,1 year,Pit Bull Mix,Brown Brindle,1,0
Annabelle,10/18/2014 14:43:00,Dog,2 years,Australian Kelpie Mix,Black/Tan,1,1
Rory,9/14/2014 15:12:00,Dog,10 months,Queensland Heeler Mix,Blue Tick,0,0
Cher,1/6/2015 15:06:00,Dog,2 months,Yorkshire Terrier/Chihuahua Shorthair,Black/Brown,0,0
Gemma,2/13/2016 18:38:00,Dog,5 years,Pit Bull Mix,Brown/White,1,1
Stache,8/13/2014 10:42:00,Dog,2 months,Australian Kelpie Mix,Sable,1,1
Mya,3/28/2014 17:42:00,Cat,10 years,Domestic Shorthair Mix,Calico,1,0
Third,11/26/2013 12:19:00,Dog,2 years,Pit Bull Mix,White/Gray,1,0
Max,10/31/2013 13:03:00,Dog,4 months,Labrador Retriever Mix,Brown/Black,1,1
Mitzi,5/3/2015 16:15:00,Cat,1 year,Domestic Shorthair Mix,White,1,1
Chuchu,4/1/2014 13:22:00,Dog,1 year,West Highland/Chihuahua Shorthair,White,1,0
Patience,12/1/2013 16:21:00,Dog,6 months,Labrador Retriever Mix,Black,1,1
Scout,4/6/2015 16:16:00,Cat,3 years,Domestic Shorthair Mix,White/Blue,1,0
,10/4/2014 14:59:00,Dog,2 months,Chihuahua Shorthair Mix,Black,1,1
,8/19/2015 9:00:00,Cat,1 year,Domestic Shorthair Mix,Black/White,0,0
Candy,11/4/2013 15:09:00,Cat,2 months,Domestic Shorthair Mix,Black,1,0
Corban,8/12/2014 8:26:00,Cat,4 months,Domestic Longhair Mix,Cream Tabby/White,1,1
Pippa,10/18/2015 18:45:00,Cat,1 year,Siamese Mix,Lynx Point,1,1
Mimi,10/30/2014 15:53:00,Dog,1 year,Pit Bull Mix,White/Black,1,0
Brownie,9/3/2015 18:21:00,Dog,2 years,Dachshund Mix,Brown,1,0
Grissy,1/21/2016 11:10:00,Cat,6 months,Domestic Medium Hair Mix,Blue Tabby,1,1
Glen,10/13/2014 14:54:00,Cat,1 month,Domestic Longhair Mix,Orange Tabby,0,0
,7/12/2014 15:47:00,Cat,1 month,Domestic Shorthair Mix,Brown Tabby,0,0
Archer,2/12/2015 18:00:00,Cat,4 months,Domestic Shorthair Mix,Black/White,1,1
River,6/28/2014 13:45:00,Cat,2 months,Domestic Shorthair Mix,Black/White,0,1
Sugarberry,8/10/2015 18:04:00,Dog,8 months,Pointer Mix,Black/White,1,1
Lily Pad,12/27/2014 11:38:00,Cat,12 years,Domestic Shorthair Mix,Orange Tabby/White,1,0
Natasha,3/7/2014 17:35:00,Dog,12 years,Chow Chow Mix,Brown/Tan,1,0
,10/15/2015 12:30:00,Cat,3 weeks,Siamese Mix,White/Black,0,0
Bolo,6/19/2015 14:43:00,Dog,1 year,Border Collie/German Shepherd,Black,1,0
Clementine,6/26/2015 9:42:00,Cat,1 month,Domestic Shorthair Mix,Orange Tabby,0,0
Roxy,11/15/2014 11:56:00,Dog,5 years,Dogo Argentino Mix,White,1,1
,7/22/2014 16:02:00,Dog,8 years,Chihuahua Shorthair Mix,Brown,0,0
Sadie,7/10/2014 11:04:00,Dog,8 years,Pit Bull Mix,Tan,1,0
Bonnie,12/20/2015 12:25:00,Dog,1 year,Great Pyrenees Mix,White/Black,1,1
Otis,4/2/2015 13:57:00,Dog,2 years,Boxer/Australian Cattle Dog,Red/White,1,0
Kilo,10/28/2013 17:17:00,Dog,1 year,German Shepherd Mix,Tan/Black,1,0
Emma,8/4/2014 16:57:00,Cat,2 months,Domestic Shorthair Mix,Torbie/White,1,1
,9/21/2015 15:58:00,Cat,1 month,Domestic Shorthair Mix,Black,0,0
Bessy,5/18/2015 13:31:00,Cat,2 years,Domestic Shorthair Mix,Blue/White,0,0
Ziggy,7/30/2015 19:12:00,Cat,2 months,Domestic Shorthair Mix,Blue Tabby,1,1
Toad,4/6/2015 18:31:00,Cat,4 years,Domestic Shorthair Mix,Black,1,1
Carnegie,7/2/2015 8:20:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,1,1
Kevin,11/15/2014 16:29:00,Cat,2 months,Domestic Shorthair Mix,Black Smoke/White,1,1
Daisy,8/16/2015 12:36:00,Dog,5 years,Basset Hound Mix,Tricolor,1,1
Tiger,1/8/2015 17:37:00,Cat,5 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
Princess,11/29/2014 16:58:00,Cat,2 months,Domestic Longhair Mix,White/Black,1,1
Chica Loca,5/25/2014 19:31:00,Cat,2 months,Domestic Medium Hair Mix,Brown Tabby/White,1,1
Disa,10/30/2014 11:01:00,Dog,3 years,Shiba Inu Mix,Tan/White,1,0
Lucky,10/31/2015 16:59:00,Dog,3 years,Pit Bull Mix,Fawn/White,1,0
Lulu,5/31/2014 13:57:00,Cat,1 month,Domestic Shorthair Mix,Black,0,0
Frank,5/26/2014 14:14:00,Dog,1 year,Plott Hound Mix,Yellow Brindle,1,0
Mickey,11/24/2015 0:00:00,Dog,2 years,Chihuahua Shorthair Mix,Black/Tan,1,0
,11/25/2014 10:09:00,Cat,2 months,Domestic Shorthair Mix,Blue,1,1
Champ,6/17/2014 17:27:00,Dog,2 years,Beauceron Mix,Black/Tan,1,0
Odin,6/20/2015 16:18:00,Dog,6 years,Chinese Sharpei Mix,Tan/Black,1,0
Zip,10/18/2014 12:31:00,Dog,5 months,Chihuahua Shorthair Mix,Black/Tan,0,0
Minnie,2/9/2016 14:41:00,Cat,5 years,Domestic Shorthair Mix,Blue Tabby/Orange,1,0
Klaus,9/2/2015 17:33:00,Cat,2 months,Domestic Shorthair Mix,White/Brown Tabby,1,1
Elliot,4/6/2014 12:20:00,Dog,3 months,Pekingese Mix,Brown/Black,1,0
Lora,2/28/2015 16:35:00,Dog,2 months,Anatol Shepherd Mix,White/Brown,1,1
Woodrow,10/22/2013 18:32:00,Cat,15 years,Siamese Mix,Blue Point,1,0
Fred,12/8/2014 12:02:00,Dog,8 years,Catahoula/Pit Bull,White/Tan,1,0
,5/21/2014 8:00:00,Cat,1 year,Domestic Shorthair Mix,Calico,0,0
Lil Sister,11/1/2013 17:54:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
Leo,7/25/2015 17:04:00,Cat,1 year,Maine Coon Mix,Brown Tabby,1,1
Pepper,2/10/2014 17:16:00,Dog,2 years,Rat Terrier Mix,Black/Brown,1,0
Meyer,10/17/2013 15:38:00,Cat,1 month,Domestic Medium Hair Mix,Blue,0,0
Spartus,1/12/2014 13:59:00,Dog,2 months,Pit Bull Mix,Fawn,0,0
,6/11/2015 15:00:00,Cat,3 weeks,Domestic Shorthair Mix,Calico,0,0
Miori,8/13/2015 16:07:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby/White,1,0
Gandolf,8/29/2014 13:08:00,Dog,9 years,Shih Tzu Mix,White/Gray,1,0
Sadie,1/14/2014 18:22:00,Dog,7 years,Labrador Retriever Mix,Buff/Tan,1,0
Tequila,2/9/2016 14:53:00,Dog,6 years,Schipperke Mix,Black,1,0
Samson,4/7/2015 14:54:00,Cat,10 years,Domestic Longhair Mix,Black,1,0
Robin,10/9/2015 8:53:00,Cat,2 months,Domestic Shorthair Mix,Torbie,1,1
Macy,8/4/2014 13:51:00,Cat,8 years,Domestic Longhair Mix,Brown Tabby,1,1
Roxy,2/12/2016 12:26:00,Dog,9 months,Pointer/Boxer,White/Brown,1,0
,6/22/2015 13:31:00,Cat,3 years,Domestic Shorthair Mix,Blue Tabby/White,0,0
Jasper,2/11/2014 14:04:00,Dog,8 months,Labrador Retriever/Standard Poodle,Black,1,1
,12/4/2013 14:38:00,Cat,3 weeks,Domestic Shorthair Mix,Orange Tabby/White,0,0
Buster,10/12/2015 17:30:00,Dog,9 months,Rottweiler Mix,Black/Tan,1,0
,10/2/2013 14:28:00,Cat,2 weeks,Domestic Shorthair Mix,Blue Tabby,0,0
Comet,12/11/2015 15:21:00,Dog,10 months,Australian Cattle Dog Mix,Red Merle,1,1
Buster,5/30/2015 15:53:00,Dog,11 years,Boxer Mix,Brown Brindle/White,1,0
Squirrel,1/5/2015 18:36:00,Dog,1 year,Chihuahua Shorthair Mix,Tricolor/Blue,1,1
Bingo,5/7/2014 13:05:00,Dog,5 years,Chihuahua Shorthair Mix,White/Brown,1,0
Wild Bill,10/16/2014 19:04:00,Dog,2 years,German Shepherd/Bull Terrier,Brown,1,1
Arby,10/10/2015 13:56:00,Dog,5 years,Miniature Pinscher/Pomeranian,Red,0,0
Coco,4/19/2014 13:34:00,Cat,1 year,Domestic Shorthair Mix,Orange Tabby/White,1,0
Katie,12/15/2013 18:27:00,Dog,3 years,Labrador Retriever Mix,Black/White,1,0
Coco,4/28/2014 15:43:00,Dog,1 year,Beagle Mix,Red/White,1,1
Nelly,12/18/2013 16:14:00,Cat,1 month,Domestic Shorthair Mix,Orange Tabby,0,0
,10/16/2015 16:20:00,Cat,2 years,Domestic Shorthair Mix,White/Black,1,1
,6/4/2015 18:52:00,Dog,6 days,Chihuahua Shorthair/Pit Bull,White,0,0
Ivana,9/20/2015 17:26:00,Dog,1 year,Pit Bull Mix,Black/White,1,1
Grant,9/21/2014 16:23:00,Dog,12 years,Harrier Mix,Tricolor,1,0
,6/24/2014 16:34:00,Dog,5 weeks,Australian Cattle Dog Mix,Tricolor,0,0
Callie,11/23/2013 17:56:00,Dog,2 years,Rat Terrier Mix,White/Brown,1,1
,3/10/2015 16:12:00,Dog,1 year,Doberman Pinsch,Black/Brown,1,0
Scooby,4/29/2015 18:07:00,Dog,1 year,Chihuahua Shorthair Mix,Tan,1,1
Rhianna,9/17/2015 14:32:00,Dog,2 years,Labrador Retriever Mix,Yellow/White,0,0
Snickers,1/16/2016 19:14:00,Dog,1 year,Miniature Poodle Mix,White/Brown,1,1
,12/20/2013 17:52:00,Cat,6 months,Burmese,Chocolate,1,1
Samus,7/12/2014 19:48:00,Dog,2 months,Redbone Hound/Anatol Shepherd,Brown/White,1,1
Pichus,12/10/2015 19:05:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby,1,1
Heaven,11/13/2015 12:29:00,Dog,2 years,Chihuahua Shorthair Mix,Chocolate/White,0,0
Andy,4/18/2014 12:01:00,Dog,5 months,Pit Bull Mix,Black,0,0
Sunny Bunny,12/31/2013 14:32:00,Dog,2 years,Pit Bull Mix,Tan/White,1,0
,8/17/2014 9:00:00,Cat,1 year,Domestic Shorthair Mix,Orange Tabby/White,0,0
,11/18/2015 19:33:00,Cat,2 years,Domestic Shorthair Mix,Calico,0,0
Basil,10/1/2014 15:50:00,Cat,1 year,Domestic Shorthair Mix,Calico,1,0
Olive,10/25/2015 14:53:00,Cat,2 months,Domestic Shorthair Mix,White/Blue,1,1
Wiz,9/9/2014 17:15:00,Cat,2 years,Maine Coon Mix,Brown Tabby,1,1
Loki,11/23/2015 18:42:00,Cat,3 years,Domestic Shorthair Mix,Blue Tabby,1,0
Tori,2/20/2016 13:20:00,Cat,6 months,Domestic Shorthair Mix,Torbie,1,1
,1/16/2016 18:54:00,Dog,1 month,Pit Bull Mix,White/Black,0,0
,10/27/2014 11:49:00,Cat,2 weeks,Domestic Medium Hair Mix,Blue,0,0
Jasper,12/29/2014 11:15:00,Dog,2 months,German Shepherd/Labrador Retriever,Black/White,1,1
Hardware,2/6/2014 17:41:00,Cat,3 years,Domestic Shorthair Mix,Brown Tabby/White,1,0
Howie,6/3/2014 14:41:00,Cat,1 month,Domestic Shorthair Mix,Brown Tabby,0,0
Monkey,10/10/2013 16:25:00,Cat,4 months,Domestic Shorthair Mix,Black,1,1
Mariah,10/19/2013 15:25:00,Dog,2 years,Labrador Retriever,Cream,0,0
Daisy,7/20/2014 15:01:00,Cat,2 months,Domestic Shorthair Mix,Black Smoke,1,1
,8/9/2014 15:58:00,Cat,3 weeks,Domestic Shorthair Mix,Black,0,0
Ducky,7/2/2015 0:00:00,Cat,3 months,Domestic Shorthair Mix,Black,1,0
Chomps,12/19/2015 17:50:00,Dog,2 years,Pit Bull Mix,Brown Brindle/White,1,0
Zorro,12/20/2014 14:03:00,Dog,11 years,Labrador Retriever Mix,Black,1,0
Mia,8/15/2015 8:45:00,Cat,3 months,Domestic Shorthair Mix,Tortie,1,1
Maggie,10/5/2013 18:56:00,Dog,10 months,Australian Shepherd/Australian Cattle Dog,Blue Merle/White,1,1
Hank,6/30/2014 14:52:00,Dog,2 years,Boxer/Chow Chow,Red/White,1,1
,10/6/2014 18:35:00,Cat,2 months,Siamese Mix,Calico Point,0,0
Luigi,11/3/2015 13:12:00,Dog,2 years,Dogo Argentino Mix,White,1,0
Isis,12/30/2015 15:20:00,Dog,7 years,Chow Chow/Australian Kelpie,Tan,1,0
,1/7/2015 17:25:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
Lola,3/16/2015 13:06:00,Dog,1 year,Pit Bull Mix,Brown/White,1,0
Blue,8/15/2015 8:38:00,Dog,6 years,Pit Bull Mix,Blue/White,1,1
,7/22/2014 17:34:00,Cat,2 weeks,Domestic Shorthair Mix,Black,0,0
Ranger,10/28/2013 11:58:00,Dog,4 months,Labrador Retriever Mix,Brown,1,0
Brownie,12/12/2014 16:30:00,Dog,6 years,Pit Bull Mix,Blue Cream/Blue Tiger,1,0
Cookie,7/11/2014 17:26:00,Dog,4 years,Chihuahua Shorthair Mix,Tricolor,1,1
Pinky,11/4/2013 15:10:00,Dog,1 year,Dachshund Mix,Black/Brown,0,0
Onyx,9/9/2015 13:46:00,Dog,1 year,Labrador Retriever/Chinese Sharpei,Black/White,1,1
,9/11/2015 12:53:00,Cat,1 year,Domestic Shorthair Mix,Blue,0,0
Tracy,1/18/2015 12:28:00,Dog,2 months,Chihuahua Shorthair Mix,Brown/White,1,1
,8/2/2014 11:59:00,Dog,2 months,Great Pyrenees/Border Collie,White/Tan,1,0
Spot,1/11/2014 9:46:00,Dog,5 years,Catahoula Mix,Blue Merle/Gray,1,0
Brix,10/18/2014 15:21:00,Dog,2 years,American Pit Bull Terrier Mix,White/Brown Brindle,1,1
Pancho,11/24/2015 19:03:00,Dog,2 years,Pit Bull Mix,Brown/White,1,0
Peanut,5/29/2015 12:25:00,Dog,2 years,Chihuahua Shorthair Mix,Brown,1,0
Baxter,8/19/2014 15:18:00,Dog,3 years,Chihuahua Shorthair Mix,Black/Tan,1,1
Milly,1/8/2014 16:59:00,Dog,1 year,Jack Russell Terrier Mix,White,1,0
Karma,3/15/2015 11:42:00,Dog,4 years,Catahoula Mix,Brown/Black,1,0
Flash,9/29/2015 16:20:00,Dog,2 years,Whippet/Chihuahua Shorthair,White/Brown,1,1
,8/11/2015 0:00:00,Cat,3 weeks,Domestic Shorthair Mix,Blue Tabby,0,0
Scrappy,10/15/2015 17:11:00,Dog,1 year,Tibetan Terrier Mix,White/Tan,1,0
Roxy,8/15/2015 12:49:00,Dog,2 years,American Pit Bull Terrier Mix,Black,1,0
,12/21/2013 18:28:00,Dog,1 year,Chihuahua Shorthair Mix,Buff/White,1,1
,9/22/2015 11:16:00,Cat,2 weeks,Domestic Shorthair Mix,Tortie,0,0
,7/9/2014 9:00:00,Cat,1 year,Domestic Shorthair Mix,Calico,0,0
Fluff,3/29/2014 18:13:00,Cat,5 months,Domestic Medium Hair,Blue Tabby,1,1
Cupulin,1/31/2014 14:52:00,Dog,2 years,Labrador Retriever Mix,Black,1,0
,4/24/2015 15:35:00,Dog,2 months,Labrador Retriever Mix,Black,0,0
Miss Crush,12/31/2014 12:52:00,Dog,2 years,Pit Bull Mix,Brown/White,1,0
,11/11/2013 15:24:00,Cat,2 years,Domestic Shorthair Mix,Black/White,0,0
,10/7/2015 9:00:00,Cat,4 years,Domestic Medium Hair Mix,Black/White,0,0
Jaco,6/15/2015 15:02:00,Dog,11 years,Border Collie,Chocolate/White,1,0
,2/20/2015 19:06:00,Dog,4 months,Labrador Retriever Mix,Chocolate/White,0,0
Peewee,2/4/2016 17:58:00,Dog,2 years,Jack Russell Terrier/Australian Cattle Dog,White/Black,1,1
,8/5/2014 16:21:00,Cat,2 weeks,Domestic Shorthair Mix,Black,0,0
Viola,12/11/2013 17:35:00,Dog,6 years,Dachshund Mix,Red,1,0
,5/28/2014 15:39:00,Cat,4 months,Domestic Shorthair Mix,Blue,1,1
Squeaky,1/31/2016 0:00:00,Dog,4 years,Jack Russell Terrier/Australian Cattle Dog,White/Black,1,0
June Bug,6/29/2014 18:14:00,Dog,4 years,Catahoula/Australian Shepherd,Tan/White,1,1
,7/11/2014 15:57:00,Dog,2 months,Labrador Retriever Mix,Black/White,0,0
,6/29/2014 11:43:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
Troy,9/3/2014 16:48:00,Dog,2 years,Collie Rough Mix,Tricolor,1,0
Hunca Munca,1/10/2015 17:29:00,Dog,3 years,Staffordshire Mix,Blue,1,1
Wombat,11/11/2015 12:19:00,Cat,1 month,Domestic Shorthair Mix,Black/White,0,0
Coco,11/24/2013 18:54:00,Dog,2 years,Silky Terrier Mix,Brown/Silver,1,0
Snkaefarm,12/6/2013 18:22:00,Dog,2 years,Bruss Griffon Mix,Brown Brindle/White,1,1
,12/4/2014 13:16:00,Cat,2 months,Domestic Shorthair Mix,Black,1,1
Camino,4/21/2014 17:31:00,Dog,3 years,Jack Russell Terrier Mix,Tricolor,1,0
Buster,1/18/2016 15:07:00,Dog,11 years,Chihuahua Shorthair Mix,Buff,1,0
Ghost,12/14/2015 18:18:00,Dog,2 years,Siberian Husky Mix,Black/White,1,0
Lobo,12/8/2015 11:41:00,Dog,7 years,Siberian Husky Mix,Red/White,0,0
Bruce Willis,11/21/2014 17:10:00,Dog,1 year,Pit Bull Mix,Brown Brindle,1,1
Pinto,11/27/2015 12:50:00,Dog,7 years,Chihuahua Shorthair Mix,Buff,0,0
,2/15/2016 0:00:00,Dog,2 weeks,Labrador Retriever Mix,Tricolor,0,0
Amy,3/27/2014 8:55:00,Cat,4 years,Domestic Shorthair Mix,Brown Tabby,1,0
,7/25/2014 16:50:00,Cat,1 weeks,Manx Mix,Orange Tabby/White,0,0
Linus,12/1/2015 9:07:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
X,7/18/2014 12:58:00,Cat,1 year,Domestic Shorthair Mix,Orange Tabby/White,0,0
Buddy,4/3/2014 19:07:00,Dog,2 years,Beagle Mix,Tricolor,1,0
,10/21/2014 8:10:00,Cat,4 years,Domestic Shorthair Mix,Black,1,0
Rusty,1/11/2015 16:18:00,Dog,10 years,Vizsla,Red,1,1
Tonka,2/13/2014 16:42:00,Dog,2 years,Staffordshire Mix,White,1,0
Shelby,2/1/2015 14:58:00,Dog,2 years,German Shepherd,Black/Brown,0,0
Mac,1/22/2015 17:08:00,Dog,2 months,Boxer Mix,Brown/White,1,1
Libby 2,6/16/2014 12:12:00,Dog,1 year,Shih Tzu Mix,White/Tan,0,0
,5/20/2014 10:55:00,Dog,5 months,Chihuahua Shorthair Mix,Black/White,0,0
,6/11/2014 11:10:00,Cat,3 years,Domestic Shorthair,Blue Tabby,0,0
Bailey,1/1/2015 15:41:00,Dog,4 years,Australian Shepherd Mix,White/Brown,1,1
Gizmo,12/13/2013 10:54:00,Cat,2 months,Domestic Shorthair Mix,Black/White,1,1
Reeses,11/23/2014 18:15:00,Dog,1 month,Miniature Pinscher/Chihuahua Shorthair,Chocolate/Tan,1,1
Alistair,8/25/2015 9:16:00,Cat,3 months,Domestic Longhair Mix,Black,0,0
Leroy,12/19/2013 11:08:00,Dog,2 years,Pit Bull Mix,Blue/White,1,0
Walter White,11/3/2013 15:00:00,Dog,1 year,Miniature Poodle Mix,White,1,1
Best Friend,1/19/2014 12:51:00,Dog,3 years,Chihuahua Shorthair Mix,Brown/White,0,0
Brooke,5/5/2015 13:43:00,Dog,1 year,Rat Terrier Mix,White/Brown,1,1
Cornelius,9/6/2015 15:56:00,Dog,8 months,Chihuahua Shorthair Mix,Sable,1,1
Clover,4/4/2015 18:02:00,Dog,5 months,Chihuahua Shorthair Mix,White/Tan,1,1
Sage,11/18/2015 18:26:00,Dog,2 years,Pit Bull Mix,Tan/White,1,0
Kailah,12/8/2015 18:25:00,Dog,2 years,Pit Bull Mix,White/Black,1,1
Violet,4/12/2015 15:46:00,Dog,5 years,Shih Tzu,White/Gray,1,1
Roxie,11/2/2015 18:47:00,Dog,5 years,Chihuahua Shorthair Mix,Brown/White,1,0
Willie,11/15/2013 14:52:00,Dog,1 year,Pit Bull Mix,White/Tan,1,0
Rudy,8/2/2014 17:24:00,Dog,2 months,Chihuahua Shorthair Mix,Brown,1,1
,2/6/2016 19:07:00,Cat,3 years,Domestic Shorthair Mix,Black/White,0,0
,7/18/2014 14:03:00,Cat,2 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Jude,5/24/2014 17:03:00,Dog,1 month,Beagle/Pug,White/Brown,1,1
Toto,2/3/2014 12:26:00,Dog,4 years,Chihuahua Longhair Mix,Tan,1,0
Scruffy,12/23/2013 18:43:00,Dog,10 months,Border Terrier/Yorkshire Terrier,Black/Brown,1,1
Fuzzbox,2/15/2016 11:41:00,Cat,6 months,Domestic Shorthair Mix,Blue Tabby/White,1,0
Maddy,2/7/2015 17:31:00,Dog,2 years,Pug/Beagle,Fawn,1,1
Tigz,12/20/2015 12:28:00,Dog,5 years,Boerboel Mix,Tan/Black,1,1
,6/21/2014 9:20:00,Cat,6 days,Domestic Shorthair Mix,Brown Tabby,0,0
O'Reily,12/31/2015 11:32:00,Dog,8 years,Golden Retriever Mix,Tan,1,0
,5/30/2015 16:55:00,Dog,1 month,Shih Tzu,Brown/White,1,1
Pancha,11/25/2014 12:02:00,Dog,1 year,Doberman Pinsch/Vizsla,Tricolor,1,0
Wanda,10/6/2015 15:07:00,Cat,1 month,Domestic Shorthair Mix,Black,0,0
Dutchess,6/29/2015 15:22:00,Cat,2 years,Domestic Shorthair Mix,Brown Tabby,1,1
Felix,8/4/2015 12:25:00,Cat,8 years,Domestic Shorthair Mix,Black,1,0
,6/17/2014 13:52:00,Cat,1 month,Domestic Shorthair Mix,Torbie,0,0
Tom,8/1/2014 15:10:00,Cat,2 months,Domestic Shorthair Mix,Black,0,0
Jerry,12/26/2013 17:56:00,Cat,9 months,Domestic Shorthair Mix,Black/White,1,1
